banda_dias_2025;personas;promedio_2025;promedio_2026;diferencia_promedio;variacion_promedio_pct;bajaron_pct;iguales_pct;subieron_pct
0;69172;0,0;3,7688515584340485;3,7688515584340485;;0,0;49,991325970045686;50,008674029954314
1-4;69057;2,3378803017796894;6,265606672748599;3,9277263709689096;168,0037411658315;37,17653532589021;7,98760444270675;54,835860231403046
5-9;69328;6,974757673667205;8,83449688437572;1,8597392107085158;26,66385411108767;48,46815139626125;4,974901915531964;46,556946688206786
10-19;113015;14,18609034199;12,124080874220237;-2,062009467769764;-14,53543166623108;62,86245188691767;3,7393266380568955;33,398221475025444
20-39;102717;27,214686955421207;18,06834311749759;-9,146343837923617;-33,608117017497605;79,2546511288297;2,1320716142410703;18,613277256929234
40 o más;19065;47,60729084710202;29,158877524259115;-18,448413322842907;-38,75123535614065;89,1528979805927;1,1434565958562812;9,70364542355101
