dimension;subsistema;grupo;personas;promedio_mayo_junio_2025;promedio_mayo_junio_2026;perdida_total_dias;diferencia_promedio;variacion_promedio_pct;contribucion_perdida_pct
departamento_2025;Secundaria;rocha;4252;14,161806208842897;9,54444967074318;19633;-4,617356538099717;-32,60429121828084;3,132918866130072
departamento_2025;Secundaria;salto;6738;10,937518551498961;6,410952804986643;30500;-4,526565746512318;-41,385673772338095;4,867010921253359
departamento_2025;Secundaria;san jose;5466;13,955177460665935;9,435601902671058;24704;-4,519575557994877;-32,3863710850955;3,9421192720866554
departamento_2025;Secundaria;soriano;4120;15,970631067961165;10,213834951456311;23718;-5,756796116504853;-36,046140518852866;3,784779181320891
departamento_2025;Secundaria;tacuarembo;4800;14,07625;10,515833333333333;17090;-3,560416666666667;-25,293786815854126;2,727121857187538
departamento_2025;Secundaria;treinta y tres;2370;12,353586497890296;8,149789029535865;9963;-4,203797468354431;-34,028963727030536;1,589837042899909
departamento_2025;UTU;artigas;1814;7,250275633958104;5,164277839029769;3784;-2,0859977949283355;-28,771289537712896;3,1787367377626197
departamento_2025;UTU;canelones;7748;10,936886938564792;8,24496644295302;20857;-2,6919204956117717;-24,613224135286004;17,520854159491268
departamento_2025;UTU;cerro largo;1520;10,427631578947368;6,753947368421053;5584;-3,673684210526315;-35,230283911671926;4,690820809637016
departamento_2025;UTU;colonia;1996;9,665330661322646;6,905811623246493;5508;-2,759519038076153;-28,550694588430446;4,626977259935653
departamento_2025;UTU;durazno;1000;14,189;10,618;3571;-3,5709999999999997;-25,167383184156744;2,9998067892574825
departamento_2025;UTU;florida;769;8,764629388816646;5,583875162548765;2446;-3,180754226267881;-36,290801186943625;2,054754244335985
departamento_2025;UTU;lavalleja;695;6,189928057553957;5,450359712230216;514;-0,7395683453237414;-11,947931194793126;0,4317840071907998
departamento_2025;UTU;maldonado;2752;7,9207848837209305;5,056686046511628;7882;-2,864098837209302;-36,15928066795119;6,621248141396661
departamento_2025;UTU;montevideo;16243;9,898294650003079;7,9889183032691005;31014;-1,9093763467339784;-19,289952605455973;26,053208558395845
departamento_2025;UTU;paysandu;1987;11,068444891796679;8,48515349773528;5133;-2,5832913940613995;-23,339244305006147;4,31195974496182
departamento_2025;UTU;rio negro;1300;12,145384615384616;8,634615384615385;4564;-3,510769230769231;-28,906200519348914;3,8339731689081913
departamento_2025;UTU;rivera;1650;8,373333333333333;5,723030303030303;4373;-2,6503030303030304;-31,651708164447022;3,673524247948186
departamento_2025;UTU;rocha;1210;9,36694214876033;6,212396694214876;3817;-3,1545454545454543;-33,677430739368276;3,2064582790803167
departamento_2025;UTU;salto;1920;6,216666666666667;4,549479166666667;3201;-1,6671874999999998;-26,818029490616624;2,6889895078166344
departamento_2025;UTU;san jose;2067;10,062893081761006;7,687953555878084;4909;-2,3749395258829216;-23,60096153846153;4,123789282684117
departamento_2025;UTU;soriano;1394;8,107604017216643;4,741750358680058;4692;-3,365853658536585;-41,51477614581489;3,941499147352593
departamento_2025;UTU;tacuarembo;1425;9,246315789473684;5,2;5766;-4,046315789473684;-43,761384335154816;4,843709310237649
departamento_2025;UTU;treinta y tres;809;7,07911001236094;5,316440049443758;1426;-1,7626699629171823;-24,89959839357431;1,1979066036071606
sexo_2025;Secundaria;f;81879;14,01271388268054;9,861454096899083;339901;-4,151259785781457;-29,624952172272202;54,23940587360453
sexo_2025;Secundaria;m;67150;12,994117647058824;8,723574087862993;286767;-4,270543559195831;-32,86520620476646;45,760594126395475
sexo_2025;UTU;f;19699;10,009239047667394;7,507132341743236;49289;-2,5021067059241586;-24,997971314385413;40,62458789397336
sexo_2025;UTU;m;28942;9,504042567894409;7,01496095639555;72039;-2,489081611498859;-26,189714468527548;59,37541210602664
