mes;personas_panel;promedio_2025;promedio_2026;diferencia_promedio;variacion_promedio_pct;mediana_2025;mediana_2026;tasa_entro_2025_pct;tasa_entro_2026_pct;diferencia_acceso_pp;personas_bajaron_pct;personas_iguales_pct;personas_subieron_pct;aporte_a_caida_total_pct
Abril;442354;3,832039497777798;3,8500635237841188;0,018024026006320693;0,4703507366448756;3,0;3,0;71,71157037124112;72,40015914855523;0,6885887773141031;39,00111675264607;22,192180922971193;38,806702324382734;-0,9234700141537717
Mayo;442354;5,182731477504442;4,1644497393490285;-1,0182817381554132;-19,64758819891109;4,0;3,0;76,55181144513217;73,79338719667959;-2,7584242484525956;48,642489951486816;19,239568309543937;32,11794173896924;52,172175673578295
Junio;442354;4,438883789905822;3,4873698440615435;-0,9515139458442787;-21,43588322830291;3,0;2,0;74,35357202602441;70,85388625399567;-3,4996857720287378;47,66024496217961;21,437355602074355;30,90239943574603;48,751294340575484
