ID_CENTRO;Rubro;subsistema;estudiantes_panel;promedio_estudiantes_2025;promedio_estudiantes_2026;tasa5_estudiantes_2025;tasa5_estudiantes_2026;periodo;delta_estudiantes;delta_tasa5_estudiantes_pp;docentes_panel;promedio_docentes_2025;promedio_docentes_2026;tasa5_docentes_2025;tasa5_docentes_2026;delta_docentes;delta_tasa5_docentes_pp;docentes_2025;docentes_2026;docentes_retenidos;retencion_docente_pct;variacion_cantidad_docentes_pct
CENTRO_0152;dges;Secundaria;325;7,28;5,72;72,0;64,0;Mayo;-1,5600000000000005;-8,0;45;7,622222222222222;6,4;62,22222222222222;46,666666666666664;-1,2222222222222214;-15,555555555555557;63,0;70,0;45,0;71,42857142857143;11,111111111111116
CENTRO_0153;dges;Secundaria;175;4,091428571428572;3,257142857142857;40,57142857142857;24,0;Mayo;-0,8342857142857145;-16,57142857142857;23;4,695652173913044;3,6956521739130435;34,78260869565217;34,78260869565217;-1,0000000000000004;0,0;39,0;46,0;23,0;58,97435897435898;17,948717948717952
CENTRO_0154;dges;Secundaria;31;1,064516129032258;2,5483870967741935;3,225806451612903;22,58064516129032;Mayo;1,4838709677419355;19,354838709677416;11;6,636363636363637;4,545454545454546;45,45454545454545;45,45454545454545;-2,090909090909091;0,0;22,0;22,0;11,0;50,0;0,0
CENTRO_0155;dges;Secundaria;286;4,77972027972028;2,164335664335664;47,9020979020979;18,53146853146853;Mayo;-2,615384615384616;-29,37062937062937;44;5,9772727272727275;4,454545454545454;47,72727272727273;29,545454545454547;-1,5227272727272734;-18,18181818181818;67,0;74,0;44,0;65,67164179104478;10,447761194029859
CENTRO_0156;dges;Secundaria;404;4,079207920792079;2,495049504950495;38,366336633663366;20,2970297029703;Mayo;-1,5841584158415842;-18,069306930693067;46;3,5652173913043477;3,847826086956522;23,91304347826087;30,434782608695656;0,2826086956521743;6,521739130434785;112,0;116,0;46,0;41,07142857142857;3,571428571428581
CENTRO_0158;dges;Secundaria;406;7,827586206896552;4,167487684729064;63,30049261083743;43,103448275862064;Mayo;-3,6600985221674875;-20,197044334975367;45;6,111111111111111;4,622222222222222;37,77777777777778;28,888888888888886;-1,488888888888889;-8,888888888888893;138,0;143,0;45,0;32,608695652173914;3,6231884057970953
CENTRO_0159;dgetp;UTU;85;1,964705882352941;1,9764705882352942;17,647058823529413;14,117647058823529;Mayo;0,011764705882353121;-3,529411764705884;21;3,857142857142857;2,3333333333333335;23,809523809523807;19,047619047619047;-1,5238095238095237;-4,761904761904759;53,0;58,0;21,0;39,62264150943396;9,433962264150942
CENTRO_0160;dges;Secundaria;722;6,721606648199446;2,7049861495844874;63,01939058171745;22,437673130193904;Mayo;-4,016620498614959;-40,581717451523545;64;7,359375;3,90625;53,125;29,6875;-3,453125;-23,4375;125,0;126,0;64,0;51,2;0,8000000000000007
CENTRO_0165;dgetp;UTU;465;4,550537634408602;3,2559139784946236;39,56989247311828;25,161290322580644;Mayo;-1,2946236559139788;-14,408602150537636;96;6,15625;5,052083333333333;48,95833333333333;38,54166666666667;-1,104166666666667;-10,416666666666657;174,0;174,0;96,0;55,172413793103445;0,0
CENTRO_0170;dgetp;UTU;88;5,2272727272727275;6,75;47,72727272727273;70,45454545454545;Mayo;1,5227272727272725;22,727272727272727;15;8,866666666666667;9,2;53,333333333333336;60,0;0,33333333333333215;6,666666666666664;39,0;35,0;15,0;38,46153846153847;-10,256410256410254
CENTRO_0172;dges;Secundaria;432;9,92361111111111;5,664351851851852;90,04629629629629;59,25925925925925;Mayo;-4,259259259259259;-30,787037037037038;50;9,28;6,0;60,0;44,0;-3,2799999999999994;-16,0;82,0;83,0;50,0;60,97560975609756;1,2195121951219523
CENTRO_0174;dges;Secundaria;508;9,8248031496063;5,897637795275591;81,10236220472441;57,28346456692913;Mayo;-3,9271653543307092;-23,81889763779528;68;7,397058823529412;5,632352941176471;58,82352941176471;47,05882352941176;-1,7647058823529411;-11,76470588235295;110,0;132,0;68,0;61,81818181818181;19,999999999999996
CENTRO_0178;dges;Secundaria;867;9,90311418685121;6,882352941176471;83,39100346020761;63,667820069204154;Mayo;-3,0207612456747395;-19,72318339100346;82;8,939024390243903;7,451219512195122;59,756097560975604;56,09756097560976;-1,487804878048781;-3,6585365853658445;122,0;137,0;82,0;67,21311475409836;12,295081967213118
CENTRO_0179;dgetp;UTU;377;4,323607427055703;3,5172413793103448;36,87002652519894;30,50397877984085;Mayo;-0,806366047745358;-6,366047745358088;76;6,934210526315789;6,2105263157894735;46,05263157894737;46,05263157894737;-0,7236842105263159;0,0;116,0;108,0;76,0;65,51724137931035;-6,896551724137934
CENTRO_0180;dges;Secundaria;511;6,009784735812133;4,24853228962818;60,46966731898239;39,726027397260275;Mayo;-1,7612524461839527;-20,743639921722114;41;7,0;5,975609756097561;53,65853658536586;48,78048780487805;-1,024390243902439;-4,878048780487809;99,0;119,0;41,0;41,41414141414141;20,2020202020202
