subsistema;centros_con_perdida;centros_top_10_pct;perdida_positiva_total;porcentaje_perdida_top_10_pct_centros;porcentaje_perdida_top_20_centros
Secundaria;290;29;531583;26,606757552442424;19,567593395575102
UTU;162;17;110516;35,06913026168157;39,327337218140364
