subsistema;mes;personas_panel;promedio_2025;promedio_2026;diferencia_promedio;variacion_promedio_pct;tasa_entro_2025_pct;tasa_entro_2026_pct;diferencia_acceso_pp;tasa_5_dias_2025_pct;tasa_5_dias_2026_pct;diferencia_5_dias_pp;activos_ambos_anios;promedio_activos_2025;promedio_activos_2026;diferencia_activos
Primaria;Abril;192568;2,6457770761497237;3,2241026546466705;0,5783255784969468;21,858439386683216;57,12319803913422;64,5616094055087;7,438411366374476;23,20115491670475;29,243176436375723;6,042021519670973;89248;4,990050197203298;5,438015417712442;0,44796522050914334
Primaria;Mayo;192568;3,6620570395912093;3,17708030410037;-0,4849767354908394;-13,243287317692264;63,516264384529094;66,46691039009596;2,9506460055668704;32,846059573760954;28,12201404179303;-4,724045531967924;97699;6,264414170052918;5,096009171025292;-1,1684049990276257
Primaria;Junio;192568;2,869261767271821;2,5764301441568693;-0,2928316231149517;-10,205817623722236;60,298699680112996;62,92530430808857;2,6266046279755706;25,747787794441447;21,609509368119316;-4,138278426322131;89906;5,180221564745401;4,396224946054768;-0,7839966186906331
Secundaria;Abril;149029;5,390903783827309;4,619845801823806;-0,7710579820035024;-14,302944606740587;86,14967556650048;79,96161820853659;-6,188057357963894;51,48461037784592;42,91245328090506;-8,572157096940858;109566;6,611631345490389;5,956501104357191;-0,6551302411331985
Secundaria;Mayo;149029;7,14917901884868;5,090680337383999;-2,0584986814646813;-28,793497491634866;88,69615980782264;80,149501103812;-8,546658704010635;63,437988579404006;46,80565527514779;-16,632333304256214;113007;8,572238887856505;6,484200093799499;-2,088038794057006
Secundaria;Junio;149029;6,404572264458595;4,258063866764187;-2,146508397694409;-33,5152498724419;87,63462144951653;77,57013735581666;-10,064484093699889;59,16298170154802;39,35140140509566;-19,81158029645237;108891;7,805851723282916;5,606588239615762;-2,1992634836671536
UTU;Abril;48641;3,6097736477457287;3,3623897535001337;-0,24738389424559504;-6,85316915646731;75,72829505972328;70,97510330790897;-4,753191751814311;31,08488723504862;28,09975123866697;-2,9851359963816493;28637;5,2080175996088975;5,097635925550861;-0,11038167405803634
UTU;Mayo;48641;5,023827635122633;3,8475154704878602;-1,1763121646347732;-23,414660097231998;81,84247856746366;72,71848851791698;-9,123990049546682;43,72648588639213;32,35542032441767;-11,371065561974463;31161;6,732742851641475;5,572895606687847;-1,1598472449536281
UTU;Junio;48641;4,684813223412347;3,3667687753130076;-1,3180444480993398;-28,134407611223743;80,79192450813099;69,41880306737114;-11,373121440759848;41,42184576797352;28,436915359470404;-12,984930408503114;29815;6,399966459835653;5,087942310917324;-1,3120241489183293
