subsistema;ID_CENTRO;personas;promedio_mayo_junio_2025;promedio_mayo_junio_2026;perdida_total_dias;diferencia_promedio;variacion_promedio_pct
Secundaria;centro_0100;211;8,274881516587678;5,507109004739337;584;-2,7677725118483414;-33,447880870561285
Secundaria;centro_0102;605;9,22809917355372;6,04297520661157;1927;-3,1851239669421494;-34,51549346229626
Secundaria;centro_0103;243;18,650205761316872;16,012345679012345;641;-2,6378600823045275;-14,143865842894975
Secundaria;centro_0104;271;14,523985239852399;13,0;413;-1,523985239852399;-10,492886178861793
Secundaria;centro_0105;734;12,863760217983652;7,540871934604905;3907;-5,322888283378747;-41,3789451387418
Secundaria;centro_0110;875;12,365714285714287;7,957714285714285;3857;-4,408000000000001;-35,64695009242145
Secundaria;centro_0111;242;10,644628099173554;5,760330578512397;1182;-4,884297520661157;-45,88509316770186
Secundaria;centro_0112;351;13,675213675213675;6,572649572649572;2493;-7,102564102564102;-51,93749999999999
Secundaria;centro_0113;687;10,829694323144105;5,542940320232897;3632;-5,286754002911208;-48,817204301075265
Secundaria;centro_0114;411;18,355231143552313;16,51338199513382;757;-1,8418491484184933;-10,034464475079542
Secundaria;centro_0115;47;18,829787234042552;11,27659574468085;355;-7,553191489361701;-40,112994350282484
Secundaria;centro_0116;533;19,611632270168855;13,018761726078798;3514;-6,592870544090056;-33,617143403807525
Secundaria;centro_0117;799;21,30413016270338;12,461827284105132;7065;-8,842302878598248;-41,50511103278111
Secundaria;centro_0122;315;6,66984126984127;3,4825396825396826;1004;-3,1873015873015875;-47,78676820561637
Secundaria;centro_0124;656;12,606707317073171;10,042682926829269;1682;-2,564024390243903;-20,338573155985497
Secundaria;centro_0125;212;6,650943396226415;8,117924528301886;-311;1,466981132075471;22,056737588652474
Secundaria;centro_0137;345;7,278260869565218;8,040579710144927;-263;0,7623188405797094;10,473914774990023
Secundaria;centro_0141;433;15,087759815242494;7,20554272517321;3413;-7,882217090069284;-52,24246135006888
Secundaria;centro_0142;611;16,407528641571194;8,944353518821604;4560;-7,46317512274959;-45,4862842892768
Secundaria;centro_0143;276;19,10144927536232;10,902173913043478;2263;-8,199275362318842;-42,92488619119879
Secundaria;centro_0144;598;8,078595317725753;5,693979933110368;1426;-2,384615384615385;-29,517698199130614
Secundaria;centro_0145;624;13,1875;6,602564102564102;4109;-6,584935897435898;-49,933163203305384
Secundaria;centro_0146;399;17,87468671679198;12,724310776942357;2055;-5,150375939849624;-28,81379697139652
Secundaria;centro_0148;554;15,528880866425993;10,222021660649819;2940;-5,306859205776174;-34,174125305126125
Secundaria;centro_0150;501;13,22754491017964;11,255489021956087;988;-1,9720558882235526;-14,908706805492677
Secundaria;centro_0151;486;8,034979423868313;5,9300411522633745;1023;-2,1049382716049383;-26,197183098591548
Secundaria;centro_0152;325;15,495384615384616;9,747692307692308;1868;-5,747692307692308;-37,09293089753773
Secundaria;centro_0153;175;10,108571428571429;6,6971428571428575;597;-3,411428571428571;-33,747880158281504
Secundaria;centro_0154;31;3,5161290322580645;3,967741935483871;-14;0,4516129032258065;12,844036697247718
Secundaria;centro_0155;286;11,118881118881118;4,388111888111888;1925;-6,73076923076923;-60,534591194968556
Secundaria;centro_0156;404;7,388613861386139;4,752475247524752;1065;-2,6361386138613865;-35,678391959798994
Secundaria;centro_0158;406;13,783251231527094;8,12807881773399;2296;-5,655172413793105;-41,029306647605445
Secundaria;centro_0160;722;11,361495844875346;5,020775623268698;4578;-6,340720221606648;-55,80885042057784
