ID_CENTRO;Rubro;subsistema;departamento;estudiantes_panel;est_abril_2025;est_abril_2026;est_mj_2025;est_mj_2026;docentes_panel;doc_abril_2025;doc_abril_2026;universo_docente;delta_doc_abril;delta_est_abril;delta_est_mj
CENTRO_0003;dges;Secundaria;montevideo;246;10,495934959349594;6,703252032520325;24,88617886178862;15,036585365853659;23;7,130434782608695;6,6521739130434785;todos_docentes_estables;-0,47826086956521685;-3,7926829268292686;-9,84959349593496
CENTRO_0004;dges;Secundaria;tacuarembo;143;1,06993006993007;6,251748251748252;9,972027972027972;10,363636363636363;17;7,0;5,588235294117647;todos_docentes_estables;-1,4117647058823533;5,181818181818182;0,39160839160839167
CENTRO_0006;dges;Secundaria;montevideo;397;2,6146095717884132;2,4937027707808563;7,5465994962216625;4,105793450881612;31;4,709677419354839;3,3225806451612905;todos_docentes_estables;-1,3870967741935485;-0,12090680100755691;-3,44080604534005
CENTRO_0007;dges;Secundaria;montevideo;222;4,2792792792792795;5,216216216216216;14,842342342342342;12,472972972972974;18;8,11111111111111;7,666666666666667;todos_docentes_estables;-0,44444444444444375;0,9369369369369362;-2,369369369369368
CENTRO_0009;dges;Secundaria;canelones;613;4,814029363784665;4,579119086460032;14,269168026101141;9,456769983686787;62;5,451612903225806;4,693548387096774;todos_docentes_estables;-0,758064516129032;-0,23491027732463277;-4,812398042414355
CENTRO_0010;dges;Secundaria;montevideo;618;4,758899676375404;5,409385113268608;10,831715210355988;11,284789644012944;91;4,857142857142857;5,373626373626373;todos_docentes_estables;0,5164835164835164;0,650485436893204;0,45307443365695654
CENTRO_0011;dges;Secundaria;montevideo;668;5,422155688622754;6,092814371257485;12,290419161676647;10,702095808383234;82;5,951219512195122;5,097560975609756;todos_docentes_estables;-0,8536585365853657;0,6706586826347305;-1,5883233532934131
CENTRO_0012;dges;Secundaria;montevideo;1130;6,497345132743363;5,675221238938053;14,750442477876106;10,664601769911505;140;6,828571428571428;5,8428571428571425;todos_docentes_estables;-0,9857142857142858;-0,8221238938053101;-4,085840707964602
CENTRO_0013;dges;Secundaria;montevideo;625;3,0672;2,3392;5,8768;4,1968;63;5,555555555555555;4,714285714285714;todos_docentes_estables;-0,841269841269841;-0,7280000000000002;-1,6800000000000006
CENTRO_0014;dges;Secundaria;montevideo;372;5,739247311827957;6,510752688172043;16,836021505376344;9,731182795698924;37;7,486486486486487;7,702702702702703;todos_docentes_estables;0,21621621621621578;0,771505376344086;-7,10483870967742
CENTRO_0016;dges;Secundaria;montevideo;610;4,701639344262295;5,878688524590164;14,218032786885246;10,029508196721311;61;5,065573770491803;5,770491803278689;todos_docentes_estables;0,7049180327868854;1,1770491803278684;-4,188524590163935
CENTRO_0017;dges;Secundaria;canelones;677;6,453471196454949;6,183161004431315;14,124076809453472;11,085672082717872;69;5,913043478260869;6,420289855072464;todos_docentes_estables;0,5072463768115947;-0,2703101920236337;-3,0384047267355996
CENTRO_0019;dges;Secundaria;soriano;722;4,8185595567867034;3,9085872576177287;13,110803324099724;7,350415512465374;86;6,593023255813954;5,953488372093023;todos_docentes_estables;-0,6395348837209305;-0,9099722991689747;-5,76038781163435
CENTRO_0020;dgetp;UTU;montevideo;505;1,3287128712871288;0,7089108910891089;3,403960396039604;2,0455445544554456;74;3,081081081081081;2,6621621621621623;todos_docentes_estables;-0,41891891891891886;-0,6198019801980199;-1,3584158415841583
CENTRO_0021;dges;Secundaria;canelones;688;2,8357558139534884;2,3401162790697674;8,828488372093023;6,023255813953488;67;4,626865671641791;3,4776119402985075;todos_docentes_estables;-1,1492537313432831;-0,49563953488372103;-2,8052325581395348
CENTRO_0022;dges;Secundaria;montevideo;393;8,007633587786259;5,844783715012722;17,638676844783713;10,223918575063614;35;5,114285714285714;4,828571428571428;todos_docentes_estables;-0,2857142857142856;-2,1628498727735366;-7,4147582697200995
CENTRO_0025;dges;Secundaria;montevideo;627;7,320574162679426;6,915470494417863;16,12121212121212;12,778309409888358;68;6,411764705882353;4,970588235294118;todos_docentes_estables;-1,4411764705882355;-0,40510366826156297;-3,342902711323763
