subsistema;periodo;centros_analizados;pearson_delta_promedio;spearman_delta_promedio;pearson_delta_tasa5;spearman_delta_tasa5;spearman_retencion_docente;centros_docente_y_estudiante_bajan_pct;delta_estudiantes_si_docentes_bajan;delta_estudiantes_si_docentes_no_bajan;diferencia_entre_grupos;retencion_docente_promedio_pct
Secundaria;Abril;306;0,3358442377200726;0,35900810586873744;0,22825660864103542;0,21354178663692497;-0,11166945478475242;58,82352941176471;-0,986848149553616;0,13449785444930856;-1,1213460040029246;52,25302257910505
Secundaria;Junio;306;0,41588042217313764;0,4159471597744291;0,30908083541991926;0,2723068845228198;-0,16590274105296654;90,84967320261438;-2,184487677049126;-1,4326592903471957;-0,7518283867019302;52,25302257910505
Secundaria;Mayo;306;0,4193199049184533;0,3801649085157133;0,26537776034115323;0,20709094382817325;-0,1580896749926564;84,640522875817;-2,1740119371333777;-0,4122624940124544;-1,7617494431209233;52,25302257910505
Secundaria;Mayo-Junio;306;0,4294776609009508;0,4118873446957824;0,21078213914737925;0,22316572449887703;-0,17680227427988768;90,52287581699346;-4,335992915208074;-1,4260523321956766;-2,909940583012397;52,25302257910505
UTU;Abril;205;0,21166560473381177;0,1566979406009938;0,21327596796094433;0,13145143517468977;-0,1042415982282899;40,97560975609756;-0,3307755800800954;0,09707275075333617;-0,42784833083343154;52,557196490913995
UTU;Junio;205;0,41907299899374667;0,38267199558348136;0,2150480411904857;0,18305706587819415;-0,12339349086916594;76,58536585365854;-1,4129744064446723;-0,1564960629921259;-1,2564783434525464;52,557196490913995
UTU;Mayo;205;0,3266117432265565;0,24800548261959776;0,18328962700495388;0,12590560394305425;-0,11986644021956003;70,24390243902438;-1,2285259004451639;-0,44912849614916905;-0,7793974042959948;52,557196490913995
UTU;Mayo-Junio;205;0,4265754692230682;0,34261690125496236;0,23920495621993781;0,17105606890587713;-0,1501159143038875;75,60975609756098;-2,650426189005559;0,5242146596858639;-3,174640848691423;52,557196490913995
